Series Name,Series Code,Time,Time Code,Austria [AUT],Belgium [BEL],Bulgaria [BGR],Croatia [HRV],Czech Republic [CZE],Denmark [DNK],Cyprus [CYP],Estonia [EST],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],Hungary [HUN],Ireland [IRL],Italy [ITA],Latvia [LVA],Liechtenstein [LIE],Lithuania [LTU],Iceland [ISL],Luxembourg [LUX],Malta [MLT],Netherlands [NLD],Poland [POL],Portugal [PRT],Romania [ROU],Slovak Republic [SVK],Slovenia [SVN],Spain [ESP],Sweden [SWE],Norway [NOR],European Union [EUU]
GDP (current US$),NY.GDP.MKTP.CD,1979,YR1979,73937296654.6577,116315456796.918,..,..,..,70366241969.2074,1288715209.58084,..,44465255380.8579,613953129818.07,881345176395.262,54481875804.9678,..,18341273372.0181,393677160801.678,..,503180669.994587,..,2857724220.07941,5711457760.04403,1001300838.32335,179669405141.162,..,26622818852.459,..,..,..,214601956370.848,123386410067.412,53132244623.9213,2953662620855.17
GDP (current US$),NY.GDP.MKTP.CD,1980,YR1980,82058912465.4329,126829314112.291,19839230769.2308,..,..,71127528699.9414,2154311276.94859,..,53645202422.6968,701288419745.421,950290856574.134,56829663469.2246,..,21773901116.6855,477256776396.111,..,534701915.617354,..,3386501917.62548,6232005655.95255,1250242107.87969,195152092662.381,..,32896521425.7109,..,..,..,232766822928.754,142092068233.403,64439382896.0156,3304099801803.52
GDP (current US$),NY.GDP.MKTP.CD,1981,YR1981,71034228097.4598,104730018252.934,19870000000,..,..,61877813965.2413,2087496373.77964,..,52448332874.07,615552202776.101,800472055214.193,52346507380.0738,..,20694944099.3789,430702851303.015,..,511658690.561043,..,3498247432.24163,5231808670.14342,1243469360.56838,164134217080.279,..,31977275895.7655,..,..,..,202807890971.346,129686938164.079,63596654760.8677,2880779507480.89
GDP (current US$),NY.GDP.MKTP.CD,1982,YR1982,71275287327.5793,92095926628.9952,19342000000,..,..,60412844678.604,2159242416.76942,..,52797582336.2526,584877732308.614,776576439268.155,54617991326.5306,..,21500471383.8587,427272645239.8,..,522090331.478107,..,3211446625.91588,4764549532.05015,1234518125,158479528266.072,..,30527754540.8678,..,..,..,195996754051.189,114380557699.042,62647195537.6511,2778135617997.39
GDP (current US$),NY.GDP.MKTP.CD,1983,YR1983,72121016623.2572,87184238658.7771,16563666666.6667,..,..,60644782176.0525,2160364071.19021,..,50973526900.0854,559869179791.72,770684323247.798,49428872678.0186,..,20790917196.8288,443042373916.369,..,524034109.856605,..,2770107922.61742,4683697830.37475,1165771369.00625,153445466064.397,..,27239650741.9472,..,..,..,170951185730.858,105014356653.754,61627240831.0948,2702809427945.14
GDP (current US$),NY.GDP.MKTP.CD,1984,YR1984,67985345161.9558,83349529879.9218,17594944444.4444,..,..,59105236853.7937,2278248953.14058,..,52888800949.7428,530683779929.445,725111123771.562,48020024788.3918,..,20130728188.4924,437887688781.133,..,502617355.407073,..,2868747034.89968,4594891580.56409,1101828568.76804,143912664079.67,..,25217969597.3706,..,..,..,172102910888.015,109201362605.479,62057955032.7758,2604111439807.56
GDP (current US$),NY.GDP.MKTP.CD,1985,YR1985,69386774474.5943,86268264488.0766,17155421052.6316,..,..,62658568287.3429,2430411900.19194,..,55875863392.1719,553138414367.061,732534886726.016,47820850974.5867,..,21295485799.95,452217491937.937,..,529078995.563876,..,2988537806.23836,4738559684.76119,1117835285.50512,143845822916.667,..,27115807153.7828,..,..,..,180793464187.867,114123537523.681,65416879914.3907,2678398497755.86
GDP (current US$),NY.GDP.MKTP.CD,1986,YR1986,99036165209.5539,120018787159.111,20249294117.6471,..,..,88078760103.8191,3090734463.27684,..,73531550551.255,771470783218.108,1046259375123.84,56379593719.5716,..,28748959622.7215,640386352123.652,..,779365167.602424,..,3995619693.36467,6921264132.20155,1435079200.34957,200862095880.554,..,38745902023.8574,..,..,..,251321074967.328,150498057779.774,78693253275.995,3745082454935.25
GDP (current US$),NY.GDP.MKTP.CD,1987,YR1987,124168442860.253,149394403673.69,28101000000,..,..,109414423928.775,3704813885.50548,..,91594751792.2359,934173305685.911,1298176105440.7,65652751132.3603,..,33961141385.7678,805713128772.035,..,1052843347.63948,..,5528616189.89999,8614215559.15721,1751247763.41948,245046310922.541,..,48182925145.8659,38413636363.6364,..,..,318747936127.207,183009638335.121,94230055658.6271,4632537576009.12
GDP (current US$),NY.GDP.MKTP.CD,1988,YR1988,133339397080.129,162299103565.551,22555941176.4706,..,..,115552846616.653,4278792597.23965,..,109058990760.483,1018847043277.17,1401233225526.23,76261278404.9964,..,37818133293.3413,891608957601.904,..,1161757671.01756,..,6115814934.67243,9750161053.209,2019474244.19359,261910508306.389,..,56347251114.2061,40809523809.5238,..,..,376160410084.274,206986674500.588,101900260856.222,5085711977582.77
GDP (current US$),NY.GDP.MKTP.CD,1989,YR1989,133105805928.237,164221056920.557,21988444444.4444,..,..,112409222182.704,4563482603.5503,..,119012054870.445,1025211803413.53,1398967436284.2,79169043642.4675,..,39285383971.4254,928661332486.593,..,1120000916.92646,..,5681096096.19612,10391504709.2547,2118574772.11136,258336705601.164,..,60594092436.9748,42105263157.8947,..,..,414757056921.996,217948315686.609,102633789557.535,5195139280884.81
GDP (current US$),NY.GDP.MKTP.CD,1990,YR1990,166463386663.439,205331747706.422,20632090909.0909,..,40477403219.5176,138247285815.855,5591130217.66965,..,141438345513.917,1269179616913.63,1771671207359.88,97891090928.6328,..,49364679953.1067,1181222652714.93,..,1421466239.56234,..,6478459746.96228,13229247947.8513,2547163582.33149,318330511920.61,65977749036.9844,78713859794.6843,38995454545.4545,12747380523.1082,18198205508.4746,536558591903.363,261846194532.676,119791683307.507,6500319936641.27
GDP (current US$),NY.GDP.MKTP.CD,1991,YR1991,173794177725.398,210510999291.199,10943548387.0968,..,29675502269.5661,139224688814.195,5770197348.48485,..,127773856785.767,1269276828275.78,1868945197407.19,105143232379.884,34753569690.2388,49847127139.0544,1246220155454.97,..,1484152022.3152,..,6920116563.2421,14321878795.0384,2750041434.26295,327500328264.969,85500935934.9901,89233599833.4952,28998684210.5263,14272201508.221,13263688695.6522,577166174219.375,274229034344.771,121872464483.487,6732371153196.44
GDP (current US$),NY.GDP.MKTP.CD,1992,YR1992,195078126346.106,234781652070.263,10350515463.9175,..,34590052812.1684,152915654478.885,6912150456.32334,..,112532519246.084,1401465923172.24,2131571696931.75,116224673042.546,38730585920.9529,55985505024.789,1320161645718.77,..,1631197909.259,..,7091625419.01334,16065740777.9172,3021910216.71827,362962871804.511,94337050693.2727,107592098901.099,25121666666.6667,15495514426.1871,13101056603.7736,630916018690.07,284321115560.287,130838040067.584,7400793014879.94
GDP (current US$),NY.GDP.MKTP.CD,1993,YR1993,190379720927.481,224721795592.351,10829710144.9275,..,40614350197.2353,143195627014.605,6590291048.29211,4006982535.06219,89214114708.0254,1322815612694,2071323790370.28,108809058858.502,40124916944.9454,52480251773.462,1064958075919.77,..,1673104493.77369,..,6227928905.73227,16486900186.5672,2709178326.78271,353550170028.477,96045645026.178,95009751901.2592,26362894736.8421,16520676622.1598,13258920423.2804,525075636161.59,212953336588.123,120579072750.596,6757409612211.46
GDP (current US$),NY.GDP.MKTP.CD,1994,YR1994,203535242741.838,244884129973.475,9697416974.16974,..,47554674590.9328,156162386724.523,7425703928.57143,4116735206.80784,103299943084.804,1393982750472.59,2205074123177.05,116601802106.742,43166678731.4132,57166035571.2603,1099216688640.73,..,1948118227.68151,..,6399064571.28805,18325791415.4811,2998570146.54095,379130260200.993,110803391516.698,99688640942.029,30074440483.3837,20162935816.8229,15049621395.3488,530562634952.18,229033566614.826,127131461119.927,7158831214572.9
GDP (current US$),NY.GDP.MKTP.CD,1995,YR1995,241038283062.645,288025588396.278,18983303571.4286,22417412250.5162,59775697061.0399,185006881515.065,9933133247.08926,4497823918.17467,134189814814.815,1601094756209.75,2585792275146.72,136878366230.328,46425677734.1435,69222624368.6869,1174662070605.02,5770516257.8437,2428461395.34884,7870782260.51698,7134341218.42524,21588170498.0843,3439931906.61479,452301674444.139,142137319587.629,118122007430.012,37435317265.1254,25840146405.2288,21352223817.226,614609020549.773,267305875261.099,152029612324.788,8295716693814.99
GDP (current US$),NY.GDP.MKTP.CD,1996,YR1996,237250948791.266,279201433224.756,12294221472.7375,23710205734.0547,66985765439.1937,187632346387.984,10011918444.1656,4780169853.03681,132129174216.93,1605675086549.56,2497244606186.64,145861612825.595,46658755151.6017,75880630166.3306,1312426527795.21,5952007401.73558,2504033252.42718,8385109020.28485,7438183246.61654,21776609771.987,3570271557.88471,450490196078.431,159942880456.956,122630089680.27,36937074278.3004,27925036755.3866,21507233002.8329,642588992512.807,291743811512.079,163520109150.671,8431192714268.01
GDP (current US$),NY.GDP.MKTP.CD,1997,YR1997,212790348404.555,252708051420.839,11315986087.1633,23854819335.779,61792161168.0011,173537647058.824,9547818700.11403,5147711226.33003,126912152101.707,1452884917959.09,2211989623279.95,143157600024.959,47296952928.7561,82826141595.0334,1241879604365.62,6508472054.19792,2298410390.68421,10120274492.8787,7580988978.10147,19731912494.3617,3705372038.70537,416812740004.518,159117799530.388,117016535162.95,35574916294.6429,27706028095.6157,20763101590.6363,590077272727.273,268146144677.73,161356631888.484,7732922104820.62
GDP (current US$),NY.GDP.MKTP.CD,1998,YR1998,218259904401.956,258528339631.029,15030695296.5235,25466974682.9475,66490372105.1262,176991934992.837,10248617647.0588,5665917232.17266,134038718291.055,1503108739159.44,2238990774702.68,144428172835.236,48706787306.2574,90082051923.2926,1270052525928.4,7145882282.85476,2479721340.8746,11240360897.7126,8494094899.39866,20209122027.1171,3923637971.04652,438008220395.468,174388271853.6,123946327916.296,41694118972.5101,29856000671.216,22146232111.9446,619214834614.099,270809066780.714,154163364302.66,7968672602630.59
GDP (current US$),NY.GDP.MKTP.CD,1999,YR1999,217185787342.851,258158533986.789,13627323284.5405,23400452775.0046,64867483193.1315,177965188354.692,10497908306.3646,5762048126.06474,135218410398.466,1492647560196.04,2194204133816.32,142540728958.023,49073380173.7159,98692079266.9934,1252023758789.69,7518044679.3178,2664026095.06058,10972878636.1675,8971608730.45387,22235929043.2559,4127313818.33836,446898572341.786,169717677900.734,127427343916.471,35952781582.2083,30453383763.0514,22711383651.9446,634693160025.57,274072182416.731,162284465073.341,7922645428744.26
GDP (current US$),NY.GDP.MKTP.CD,2000,YR2000,196799778883.361,236204532891.1,13245833843.5454,21669183468.838,61649492816.5201,164158739097.623,9985844486.33365,5694069842.43988,125706651925.557,1362248940482.77,1943145384190.16,130133845771.144,47218405892.4258,99852958356.3663,1143829832319.88,7934206257.24218,2483953102.79488,11539211480.3625,9003639597.5374,21263514833.2412,4053395700.56829,416442786069.652,171885598582.637,118310710337.203,37253259016.9976,29169953012.7142,20289627636.6767,596877648793.072,262835454366.855,171247131268.604,7259398860355.29
GDP (current US$),NY.GDP.MKTP.CD,2001,YR2001,197337879194.631,236541297539.15,14183497963.1071,23179763831.4452,67523642262.4009,164791442543.375,10397897085.6102,6259258257.98944,129421029082.774,1376465324384.79,1944107382550.34,136191353467.562,53749989092.0197,109135253959.732,1167012796420.58,8334748153.1229,2491822706.80256,12252498921.0186,8205357407.67732,21272418791.9463,4066485175.99924,431213422818.792,190521263343.023,121498889485.459,40394824679.1232,30752150335.5705,20876309575.5183,627286800894.855,242395852494.409,173972218824.027,7387163472304.34
GDP (current US$),NY.GDP.MKTP.CD,2002,YR2002,213377771503.858,257157820440.429,16402846413.0958,26815681491.9268,81910771993.9155,178635163717.431,11420227884.6154,7372457191.29698,139738377564.465,1494286655373.61,2068624129493.69,153830947016.751,67608919144.3684,127949875023.527,1270712309429.7,9529948840.38199,2688630822.53304,14278357283.7419,9294652006.23598,23616328816.1114,4466981846.35185,471613965744.401,198680637254.902,134156091661.961,46066101951.2933,35130340673.8189,23489889975.0623,705394315829.098,266849061835.659,195524186477.617,8049115975395.47
GDP (current US$),NY.GDP.MKTP.CD,2003,YR2003,261695778781.038,317381715575.621,21144983551.6823,34686502609.9925,99627140274.3805,218096033517.009,14547325028.3126,9877636517.61518,171274266365.688,1840480812641.08,2496128668171.56,201924270316.027,85302003908.042,164284690067.72,1574145823927.77,11731703357.5206,3070691319.52179,18802576988.1557,11414055062.6393,29557325056.4334,5415856194.37806,578792325056.433,217513049291.61,164862142212.19,57806506024.0964,46816589164.7856,29634713062.594,905492099322.799,334337212322.076,228858506821.841,9911359749306.61
GDP (current US$),NY.GDP.MKTP.CD,2004,YR2004,300904221504.842,368537000248.324,26157894736.8421,41594385429.9587,119162172468.268,251373002954.382,17320552500,12144397515.528,197116960516.514,2115742488204.62,2809187981127.39,240521260988.329,103960017914.058,193870692699.28,1803226967966.23,14355307662.287,3454362685.96703,22649930576.2543,13834750403.5377,34685281847.5292,6044382215.99402,657171591755.649,255102252843.395,189034502110.752,74972669056.5922,57332015147.7527,34414784504.2352,1067093369754.16,385118044877.465,264511630666.983,11398794129126.6
GDP (current US$),NY.GDP.MKTP.CD,2005,YR2005,315974418604.651,385570948886.954,29869283400.0381,45386774692.3956,136280689891.224,264467336457.17,18433411267.2553,14098326327.5712,204809103345.355,2196126103718.44,2845802760850.64,247783001865.44,112980947728.383,211649034697.177,1857524312896.41,16909366521.4686,3659251525.8593,26125575942.2814,16812530836.7351,37347394602.6614,6403839313.51822,685092650167.89,306123628496.368,197180330804.626,98452791982.7024,62785305310.2848,36206396343.7383,1153285660987.44,392218088878.779,308884284051.222,11904887483980.9
GDP (current US$),NY.GDP.MKTP.CD,2006,YR2006,335998557270.104,407918078032.869,34379808888.6039,50454950478.0836,155463807112.889,282884947702.966,20072786350.5206,17012321791.4942,216907539831.891,2318593651988.46,2992196713084.93,273317737046.795,115577256523.599,232083467569.941,1947919708944.93,21436812139.4532,4000239272.61126,30216060233.4044,17216420297.8056,42414308116.9239,6757119558.3992,733340860619.747,344745746326.373,208581694893.991,122022997508.01,70708098105.6329,39481044912.8089,1259343871534.31,423093437423.762,345581369965.54,12702923383990.9
GDP (current US$),NY.GDP.MKTP.CD,2007,YR2007,388691445387.353,470324254037.777,44405101469.5591,60182902955.1599,189227050759.595,319423424509.066,23968764029.5647,22445582945.5242,256052559540.104,2657213249384.07,3421229126745.14,318497936901.177,139966001509.592,269917943471.12,2210292636189.43,30897981124.3332,4601299566.81106,39738180076.6283,21514962933.4166,50888134410.0739,7880509170.54476,847481522036.682,429061382275.371,240190803449.22,174585202805.233,86454081576.7862,48006373117.9852,1472131125102.66,491252589217.021,400937100158.657,14710405864196.8
GDP (current US$),NY.GDP.MKTP.CD,2008,YR2008,430294287388.311,515223524241.98,54438966419.8639,70288870869.6534,235718586901.129,353361038818.383,27844698989.3072,24371299985.3523,284553976856.599,2918382891460.38,3730027830672.33,354460802548.704,158136326477.965,275038896001.172,2398856598798.89,35657998830.5803,5081432924.0144,47850551148.8365,17905251718.3469,55849686538.7432,8977149553.24447,947997656364.435,533813299020.422,262344779551.78,214313628965.024,100469509301.304,55552508715.3948,1625224842536.99,517706149201.196,462250000000,16236756356158
GDP (current US$),NY.GDP.MKTP.CD,2009,YR2009,400172297860.517,481345929424.84,51999181062.0601,62666199344.4859,206179982164.402,321241303699.006,25945391775.4932,19744110447.3465,252496526813.004,2690222283967.77,3397791053070.3,330000252153.376,130760312876.683,236316405946.096,2191241872742.43,26250900750.6255,4504549214.22663,37440673477.8982,13164652467.1947,51370543206.4462,8528202278.41067,868077243678.8,439793916861.639,243701635176.438,174103695930.213,89046289247.0131,50368056543.4843,1485583495415.39,436537014293.554,386190385318.767,14708924770207.7
GDP (current US$),NY.GDP.MKTP.CD,2010,YR2010,391892746544.69,480951629493.033,50363282117.233,59807930156.4205,207477857918.919,321995279401.502,25732432719.0773,19693608686.6415,249181190476.369,2642609548930.36,3396354075663.73,299361576558.217,131135561228.374,222148757313.006,2134017843247.16,23803906230.7479,5082366478.08994,37034461707.2874,13683689690.2042,53212476812.2957,8749171417.20801,846554894931.084,479321460551.189,237880908317.652,166225180150.414,90183986821.6439,48161250935.0166,1420722034063,495812558843.31,428757038466.841,14540385611235.6
GDP (current US$),NY.GDP.MKTP.CD,2011,YR2011,431120310088.82,522645519183.591,57363610380.3768,62354273096.4277,227948349666.354,344003137611.271,27565469097.9955,23391529311.2497,275243697751.011,2861408170264.61,3744408602683.94,287797822093.178,141109576981.423,237472361872.56,2291991045770.29,28490700600.9577,5739977477.47748,43466133144.1699,15158548261.0475,60004630234.4135,9515297914.81069,904085980796.018,528832185770.217,244797226567.109,183443154234.731,98997521242.3941,51516367349.8866,1478772824224.03,574094112972.733,498283438454.281,15741839610904.6
GDP (current US$),NY.GDP.MKTP.CD,2012,YR2012,409425234155.263,496181260258.3,54013812089.3561,56494367810.1978,207376427020.815,327148943812.137,24978513426.6992,23192709238.817,258304834621.605,2683825225092.63,3527344944139.83,245670666639.047,128153691809.347,224999484104.853,2087077032435.15,28176625841.4665,5456009384.66461,42842537129.1154,14724078152.3141,56677961787.0717,9205506528.33098,838971306990.906,500360816827.883,216236608773.976,171196268957.961,94416582465.2848,46580457470.2769,1324820091194.67,552483727282.802,509506317146.541,14636155637903.8
GDP (current US$),NY.GDP.MKTP.CD,2013,YR2013,430068712971.867,521642714407.843,55591336862.1064,58056933513.2956,209402444996.104,343584391647.927,23900872625.8467,25271407238.6622,271285280621.373,2811077725703.59,3732743446218.92,239862011450.103,135409048034.154,238543538776.684,2141315327318.21,30272574650.3729,6391735893.83968,46442055803.7018,16033517406.48,61739352212.3049,10153894646.0353,876923518850.405,524234322596.975,226369502104.236,190949066979.176,98723944143.6938,48401896409.9842,1354757433212.72,586841821796.891,522761531914.894,15293564575793.2
GDP (current US$),NY.GDP.MKTP.CD,2014,YR2014,441996131736.508,534678075827.361,56883172568.1726,57642914303.6081,207818330723.835,352993631617.708,23128114786.7676,26773472961.8253,274497230802.958,2852165760630.27,3883920155292.26,237029579260.722,140558786480.464,258471885130.304,2159133919743.77,31382780146.4181,6657170923.37918,48526000845.3102,17758050018.9682,66103853236.7572,11302344157.0347,890981311077.658,545389126644.476,229596170846.995,199626806401.529,101171217100.824,49930685013.4603,1369398844599.58,581964017237.095,498410050251.256,15633064319173.7
GDP (current US$),NY.GDP.MKTP.CD,2015,YR2015,381817565893.574,462149679343.822,50630703922.0132,49530641704.2124,186829940545.759,302673068765.972,19779150116.4984,23048864242.6072,234440080998.273,2438207896251.84,3360549973888.58,196591353761.226,124529741437.176,291499812103.645,1835899237320.04,27090019662.7977,6268391521.19701,41392396557.6337,17389101641.2758,57744457954.7297,10682394998.3357,765264949780.999,477581376840.43,199313894327.486,177893451831.141,88457167724.277,43090173061.9713,1195119269971.52,505103781349.757,385801550067.169,13546911044356.3
GDP (current US$),NY.GDP.MKTP.CD,2016,YR2016,395227684138.862,475900865683.644,53785050339.3665,51596973258.8892,195090272402.729,313115929314.339,20890936462.2537,23996451497.6139,240607907010.383,2471285607081.72,3466790065011.83,195222443512.937,127507473625.632,300523297712.96,1875797463583.87,27734140217.3664,6237264055.20601,43021972484.8299,20618363255.7616,60691483443.1221,11444483133.7171,783528181704.567,472037130972.913,206286022781.894,188494136775.719,89640616270.8866,44651537259.9731,1232076017361.53,515654671469.547,368819929542.194,13882598814513.1
GDP (current US$),NY.GDP.MKTP.CD,2017,YR2017,418316161095.683,503788776542.824,58950125036.0127,55319605060.5393,215913545038.43,329417067127.817,22638608224.1301,26859101053.8139,255122545770.778,2595151045197.65,3665804120835.3,203588424288.428,141510583019.556,335663113959.724,1961796197354.36,30273007510.3024,6552858738.70214,47750908128.259,24488176539.6549,64181944722.7283,12747857570.0407,833869641687.06,526380811261.345,221357874718.93,211695422578.655,95481955557.6908,48561672400.8437,1312551705955.3,541018749769.097,398393955268.99,14735710571465.3
